timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
523503678,505026200,0,523001523,0,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
524004630,505026200,0,523001523,0,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
524512681,505026200,0,523001523,0,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
525021633,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
525531028,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
526041630,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
526541668,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
527052625,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
527553625,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
528055626,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
528563723,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
529066004,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
529573666,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
530074664,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
530578660,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
531086254,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
531595769,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
532100669,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
532611677,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
533113625,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
533621632,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
534131626,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
534639643,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
535148622,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
535655665,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
536156950,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
536665626,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
537165638,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
537675141,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
538175796,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
538678015,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
539185873,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
539687952,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
540188626,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
540695935,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
541205608,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
541707187,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
542216433,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
542721670,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
543225900,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
543739196,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
544249265,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
544749485,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
545253626,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
545755646,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
546260666,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
546760706,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
547262629,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
547769716,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
548270626,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
548779627,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
549279674,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
549788677,505026200,0,523001523,524966707,271155244,270630924,271155215,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
549877955,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
550387016,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
550889625,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
551398670,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
551908672,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
552409669,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
552919627,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
553427800,549877947,0,523001523,524966707,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
553937970,549877947,0,523001523,0,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
554448163,549877947,0,523001523,0,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
554955781,549877947,0,523001523,0,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
555462712,549877947,0,523001523,0,271155244,270630924,271155215,18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
555883905,549877947,0,0,0,271155244,270630924,271155215,18,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
556390628,549877947,0,0,0,271155244,270630924,271155247,18,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
